Seuilla;32949;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;;null;Medieval;FOUND
Cordoua;32960;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;;null;Medieval;FOUND
Murcia;32971;PLN;FT;http://sws.geonames.org/6362997/ ;Murcia;not;;;null;Medieval;FOUND
Iaen;32983;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Cuenca;33074;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
Focalcaçar;33329;PPLN;PPT;;;not;;;;;VALIDATE
Fecha;33681;PLN;FT;http://sws.geonames.org/3122585;Fecha,Santa Cristina,Sta Cristina d Fecha;not; ; ;null;Geonames;FOUND
Fromesta;33829;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Castiella;33896;PLN;FT; ;Castilla;not;;;null;Medieval;FOUND
Toledo;33909;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Leon;33919;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Gallizia;33927;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;;null;Medieval;FOUND
Seuilia;33939;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;;null;Medieval;FOUND
Cordoua;33950;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;;null;Medieval;FOUND
Murçia;33961;PLN;FT;http://sws.geonames.org/6362997/;Murcia;not;;;null;Freeling;FOUND
Jahen;33973;PLN;FT;http://pleiades.stoa.org/places/265810;Jaén;not;;;null;Medieval;FOUND
Sant Felizes;34196;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Medina;34211;PPLN;GENT; ; ;not;;; ; ;VALIDATE
Guadiela;34232;PLN;FT;http://www.geonames.org/3121053/;río Guadiela;not; ; ; ;Medieval;FOUND
Cuenca;34254;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
Huepte;34269;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Beteta;34332;PLN;FT;http://sws.geonames.org/6357394; ;not;;;null;Geonames;FOUND
Huelamo;34347;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Sant Felizes;34542;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Medina;34557;PLN;FT;http://sws.geonames.org/6325382;Madina;not;;;null;Medieval;FOUND
